FOR,AGAINST,TOTAL CASTE,DEPENDENT VARIABLE,BALLOT TYPE,POPULATION,PCI,MEDIUM FAMILY INCOME,SIZE OF COUNTY,POPULATION DENSITY,PERCENT WHITE,PERCENT BLACK,PERCENT OTHER,PERCENT MALE,PERCENT FEMALE,NO OF CHURCHES,NO OF CHURCH MEMBERS,PERCENT CHURCH MEMBERS OF POPULATION,POVERTY LEVEL,UNEMPLOYMENT RATE,AGE LESS THAN 18,AGE24,AGE44,AGE64,AGE OLDER THAN 65,MSA,PERCENT MINORITY,NO OF OLDER,NO OF YOUNGER,AGE_SUM,TURNOUT_RATE,FOR_RATE
42385,22992,65377,1,1,265038,15607.0,34618,1192.0,223.29,0.75,0.03,0.22,0.496,0.504,128,25110.0,0.09434033152492448,10.4,5.0,80600,22627,94724,46933,20154,1,0.25,67087,189448,265038,0.24667028878877745,0.6483166862964039
2015,1852,3867,1,1,13617,13740.0,23114,722.8,18.81,0.5959595959595959,0.0,0.4040404040404041,0.491,0.509,22,2427.0,0.17852151526296434,24.8,7.0,4285,1861,4092,2114,1265,2,0.4,3379,8184,13617,0.28398325622383785,0.5210757693302301
51959,48406,100365,1,1,391511,24187.0,44874,803.2,490.34,0.8500000000000001,0.060000000000000005,0.09000000000000001,0.488,0.512,180,58252.0,0.14790853091880418,5.9,3.0,111243,29574,150740,70783,29171,1,0.15,99954,301480,391511,0.2563529504918125,0.5177003935634933
957,856,1813,1,1,5345,12816.0,27359,1349.4,3.99,0.74,0.0,0.26,0.51,0.49,14,1151.0,0.21382128924391602,16.9,5.0,1647,229,1670,1178,621,2,0.26,1799,3340,5345,0.3391955098222638,0.5278543849972421
942,1129,2071,0,1,4556,19017.0,23054,2555.9,1.77,0.93,0.0,0.07,0.495,0.505,23,982.0,0.21730471343217525,19.0,1.0,1192,220,1231,973,940,2,0.07,1913,2462,4556,0.45456540825285335,0.45485272815065186
905,646,1551,1,1,5048,13742.0,22325,1514.0,3.32,0.71,0.01,0.28,0.52,0.48,14,797.0,0.15863853503184713,20.4,3.0,1401,221,1346,1127,953,2,0.29,2080,2692,5048,0.30725039619651345,0.5834945196647324
40479,39515,79994,1,1,225339,21782.0,43782,742.5,304.5,0.8910891089108911,0.009900990099009901,0.09900990099009901,0.501,0.499,152,33182.0,0.14676456278473174,11.0,4.0,55588,29072,86366,37104,17209,1,0.11,54313,172732,225339,0.35499403121519135,0.5060254519088931
2678,1826,4504,1,1,12684,13116.0,25439,1013.5,12.52,0.8712871287128713,0.019801980198019802,0.10891089108910891,0.536,0.464,29,2446.0,0.19279577520296368,14.3,6.0,3032,926,3935,2703,2088,2,0.13,4791,7870,12684,0.3550930305897193,0.594582593250444
490,422,912,1,1,2397,19356.0,30053,1781.5,1.34,0.96,0.0,0.04,0.509,0.491,11,495.0,0.20659432387312188,11.6,1.0,775,121,742,383,376,2,0.04,759,1484,2397,0.3804755944931164,0.5372807017543859
1923,1140,3063,1,1,7619,17826.0,41111,395.5,19.29,0.96,0.0,0.04,0.519,0.481,10,324.0,0.0424695241840346,9.5,3.0,2058,340,3119,1558,544,2,0.04,2102,6238,7619,0.40202126263289145,0.6278158667972575
1063,1343,2406,0,1,7453,9534.0,17155,1287.3,5.8,0.39,0.0,0.61,0.497,0.503,19,154.0,0.020610278372591006,33.9,11.0,2694,434,1918,1364,1043,2,0.61,2407,3836,7453,0.3228230242855226,0.44181213632585203
